amenity,lat,lon,name
restaurant,2444,2444,2444
fast_food,1131,1131,1131
cafe,1055,1055,1055
bank,458,458,458
pharmacy,304,304,304
dentist,226,226,226
bicycle_rental,201,201,201
fuel,188,188,188
post_office,187,187,187
pub,186,186,186
bar,173,173,173
post_box,116,116,116
clinic,114,114,114
doctors,99,99,99
place_of_worship,96,96,96
bench,95,95,95
ice_cream,71,71,71
veterinary,68,68,68
school,62,62,62
community_centre,58,58,58
library,50,50,50
social_facility,49,49,49
childcare,43,43,43
theatre,41,41,41
public_bookcase,38,38,38
car_rental,33,33,33
recycling,31,31,31
parking,29,29,29
ferry_terminal,28,28,28
college,23,23,23
waste_basket,21,21,21
police,20,20,20
car_wash,20,20,20
bureau_de_change,20,20,20
fire_station,19,19,19
charging_station,18,18,18
toilets,18,18,18
marketplace,17,17,17
kindergarten,16,16,16
bus_station,16,16,16
dojo,13,13,13
social_centre,12,12,12
nightclub,12,12,12
cinema,12,12,12
shelter,11,11,11
research_institute,11,11,11
arts_centre,11,11,11
vending_machine,11,11,11
music_school,10,10,10
car_sharing,9,9,9
events_venue,9,9,9
drinking_water,9,9,9
hospital,8,8,8
atm,8,8,8
boat_rental,8,8,8
fountain,7,7,7
townhall,7,7,7
university,6,6,6
science,6,6,6
food_court,6,6,6
studio,6,6,6
prep_school,5,5,5
parking_entrance,5,5,5
spa,5,5,5
language_school,5,5,5
animal_shelter,4,4,4
clock,4,4,4
construction,4,4,4
workshop,3,3,3
bicycle_parking,3,3,3
motorcycle_parking,3,3,3
driving_school,3,3,3
lounge,3,3,3
Pharmacy,2,2,2
cram_school,2,2,2
conference_centre,2,2,2
scrapyard,2,2,2
internet_cafe,2,2,2
bicycle_repair_station,2,2,2
courthouse,2,2,2
post_depot,2,2,2
atm;bank,1,1,1
storage,1,1,1
training,1,1,1
car_rep,1,1,1
casino,1,1,1
chiropractor,1,1,1
telephone,1,1,1
taxi,1,1,1
waste_disposal,1,1,1
waste_transfer_station,1,1,1
water_point,1,1,1
storage_rental,1,1,1
watering_place,1,1,1
bistro,1,1,1
office|financial,1,1,1
disused:restaurant,1,1,1
juice_bar,1,1,1
nursery,1,1,1
motorcycle_rental,1,1,1
monastery,1,1,1
meditation_centre,1,1,1
lobby,1,1,1
leisure,1,1,1
public_building,1,1,1
park,1,1,1
housing co-op,1,1,1
healthcare,1,1,1
gym,1,1,1
safety,1,1,1
gambling,1,1,1
family_centre,1,1,1
shop|clothes,1,1,1
