amenity,name
restaurant,2444
fast_food,1131
cafe,1055
,
,
,
,
,
,
pub,186
bar,173
,
,
,
place_of_worship,96
,
ice_cream,71
,
school,62
community_centre,58
library,50
,
,
theatre,41
public_bookcase,38
,
,
,
ferry_terminal,28
college,23
,
,
,
bureau_de_change,20
,
,
,
marketplace,17
,
,
dojo,13
social_centre,12
nightclub,12
cinema,12
,
research_institute,11
arts_centre,11
,
,
,
events_venue,9
,
,
,
,
,
,
university,6
science,6
food_court,6
studio,6
,
,
spa,5
,
,
clock,4
,
,
,
,
,
lounge,3
,
cram_school,2
conference_centre,2
,
internet_cafe,2
,
,
,
,
,
,
,
casino,1
chiropractor,1
,
,
,
,
,
,
,
bistro,1
,
,
juice_bar,1
nursery,1
,
monastery,1
,
,
leisure,1
,
park,1
,
,
,
,
gambling,1
